Secret Size (bits),Threshold,Num Shares,Scheme,Split Time (ms),Verify Time (ms),Reconstruct Time (ms)
32,2,10,Pedersen,0.3690970000000003,2.213765,0.004288999999999992
32,2,10,Feldman,0.13148900000000027,1.1063960000000008,0.0028469999999999568
32,5,10,Pedersen,1.0987020000000018,2.4106159999999957,0.016286999999999992
32,5,10,Feldman,0.45093199999999944,1.1436089999999988,0.014579999999999933
32,10,10,Pedersen,2.4039649999999964,2.9398080000000015,0.06928899999999971
32,10,10,Feldman,0.9999740000000022,1.5269129999999975,0.06705400000000017
32,5,100,Pedersen,1.255500000000002,26.730945000000002,0.017283999999999904
32,5,100,Feldman,0.5639019999999992,14.520975000000016,0.017281000000000022
32,25,100,Pedersen,6.66286100000001,104.70407200000012,0.47962700000000086
32,25,100,Feldman,3.2533359999999973,92.59552300000009,0.49774900000000033
32,50,100,Pedersen,14.42730300000002,355.4765179999999,2.15957
32,50,100,Feldman,6.7638779999999885,322.6787250000002,2.0206489999999997
32,100,100,Pedersen,42.54318300000002,1437.7666219999992,14.743873999999986
32,100,100,Feldman,20.454940000000015,1352.8634309999993,14.669510999999995
64,2,10,Pedersen,0.7026160000000005,4.096927000000004,0.005422999999999939
64,2,10,Feldman,0.2445960000000007,1.835027999999998,0.004135999999999984
64,5,10,Pedersen,1.8658280000000003,4.055671999999996,0.026985000000000047
64,5,10,Feldman,0.9055879999999988,2.223583000000001,0.026303999999999855
64,10,10,Pedersen,3.946999000000004,4.821034999999999,0.11331899999999946
64,10,10,Feldman,1.7814050000000003,2.6797819999999977,0.11259099999999961
64,5,100,Pedersen,2.112623000000003,44.99079199999996,0.027864999999999997
64,5,100,Feldman,0.9836760000000007,25.25579000000003,0.03409599999999981
64,25,100,Pedersen,11.378741000000007,179.76455300000006,0.8265340000000008
64,25,100,Feldman,5.569440999999993,158.66980299999977,0.7963990000000004
64,50,100,Pedersen,21.980842999999993,537.4607560000003,3.539650000000001
64,50,100,Feldman,10.871835000000011,516.4041470000003,3.5502049999999987
64,100,100,Pedersen,43.545101000000045,1403.2290139999989,14.789635999999998
64,100,100,Feldman,23.034531999999974,1571.9990280000013,14.786927999999987
128,2,10,Pedersen,0.7278310000000009,4.102945000000001,0.0067989999999999665
128,2,10,Feldman,0.3232049999999995,2.0614509999999995,0.004211999999999979
128,5,10,Pedersen,1.9819020000000016,4.177837999999999,0.02734299999999991
128,5,10,Feldman,0.8367100000000001,1.9739020000000012,0.025403999999999774
128,10,10,Pedersen,3.724346000000001,4.481502999999998,0.11962200000000012
128,10,10,Feldman,1.9650320000000012,2.884864000000002,0.11103199999999946
128,5,100,Pedersen,2.1280940000000013,44.423394000000016,0.033029000000000044
128,5,100,Feldman,1.0879360000000007,26.376886000000027,0.02891899999999996
128,25,100,Pedersen,11.430815999999993,181.46645800000007,0.8366350000000006
128,25,100,Feldman,5.424784999999998,151.6618030000001,0.8335790000000003
128,50,100,Pedersen,22.68711900000001,564.1462030000002,3.3507690000000014
128,50,100,Feldman,11.197012000000015,537.4753249999999,3.263041
128,100,100,Pedersen,44.506770000000024,1509.3991310000017,14.172125999999995
128,100,100,Feldman,22.127389000000008,1494.6470809999978,14.736370000000008
255,2,10,Pedersen,0.7786300000000009,3.746282000000001,0.005711999999999922
255,2,10,Feldman,0.4087009999999992,2.028564999999995,0.0042869999999999705
255,5,10,Pedersen,2.166945999999996,4.377001999999999,0.028121999999999762
255,5,10,Feldman,1.0635930000000002,2.281991000000001,0.027097999999999817
255,10,10,Pedersen,3.955868999999996,4.626173999999998,0.11284799999999975
255,10,10,Feldman,2.1173360000000008,2.9259560000000056,0.11416699999999971
255,5,100,Pedersen,2.3172119999999983,46.53812599999996,0.02834700000000006
255,5,100,Feldman,1.0765910000000005,23.818826999999956,0.027687000000000066
255,25,100,Pedersen,11.06447299999998,172.36330400000006,0.8292500000000005
255,25,100,Feldman,5.6841610000000085,156.80895299999992,0.8538240000000008
255,50,100,Pedersen,22.797262999999976,562.7264280000002,3.4420149999999987
255,50,100,Feldman,10.402477000000003,486.27066099999996,3.3894250000000015
255,100,100,Pedersen,45.07910200000004,1526.6678119999979,14.568652999999992
255,100,100,Feldman,22.657110000000007,1531.0376420000007,14.088571999999981
