Secret Size (bits),Threshold,Num Shares,Scheme,Split Time (ms),Verify Time (ms),Reconstruct Time (ms)
32,2,10,Pedersen,0.3690970000000003,0.2213765,0.0042889999999999
32,2,10,Feldman,0.1314890000000002,0.11063960000000009,0.0028469999999999
32,5,10,Pedersen,1.0987020000000018,0.24106159999999957,0.0162869999999999
32,5,10,Feldman,0.4509319999999994,0.11436089999999988,0.0145799999999999
32,10,10,Pedersen,2.4039649999999964,0.29398080000000015,0.0692889999999997
32,10,10,Feldman,0.9999740000000022,0.15269129999999975,0.0670540000000001
32,5,100,Pedersen,1.255500000000002,0.26730945,0.0172839999999999
32,5,100,Feldman,0.5639019999999992,0.14520975000000017,0.017281
32,25,100,Pedersen,6.66286100000001,1.0470407200000011,0.4796270000000008
32,25,100,Feldman,3.2533359999999973,0.9259552300000009,0.4977490000000003
32,50,100,Pedersen,14.42730300000002,3.5547651799999986,2.15957
32,50,100,Feldman,6.7638779999999885,3.2267872500000023,2.0206489999999997
32,100,100,Pedersen,42.54318300000002,14.377666219999991,14.743873999999986
32,100,100,Feldman,20.454940000000015,13.528634309999994,14.669510999999996
64,2,10,Pedersen,0.7026160000000005,0.40969270000000046,0.0054229999999999
64,2,10,Feldman,0.2445960000000007,0.1835027999999998,0.0041359999999999
64,5,10,Pedersen,1.8658280000000005,0.4055671999999996,0.026985
64,5,10,Feldman,0.9055879999999988,0.2223583000000001,0.0263039999999998
64,10,10,Pedersen,3.946999000000004,0.4821034999999999,0.1133189999999994
64,10,10,Feldman,1.7814050000000003,0.2679781999999998,0.1125909999999996
64,5,100,Pedersen,2.112623000000003,0.44990791999999963,0.0278649999999999
64,5,100,Feldman,0.9836760000000008,0.2525579000000003,0.0340959999999998
64,25,100,Pedersen,11.378741000000009,1.7976455300000007,0.8265340000000008
64,25,100,Feldman,5.569440999999993,1.5866980299999975,0.7963990000000004
64,50,100,Pedersen,21.980842999999993,5.374607560000003,3.539650000000001
64,50,100,Feldman,10.871835000000011,5.1640414700000035,3.5502049999999987
64,100,100,Pedersen,43.545101000000045,14.032290139999988,14.789635999999998
64,100,100,Feldman,23.034531999999977,15.719990280000012,14.786927999999987
128,2,10,Pedersen,0.7278310000000009,0.4102945000000001,0.0067989999999999
128,2,10,Feldman,0.3232049999999995,0.20614509999999994,0.0042119999999999
128,5,10,Pedersen,1.9819020000000016,0.41778379999999987,0.0273429999999999
128,5,10,Feldman,0.8367100000000001,0.19739020000000013,0.0254039999999997
128,10,10,Pedersen,3.724346000000001,0.44815029999999983,0.1196220000000001
128,10,10,Feldman,1.9650320000000012,0.2884864000000002,0.1110319999999994
128,5,100,Pedersen,2.1280940000000013,0.44423394000000016,0.033029
128,5,100,Feldman,1.087936000000001,0.26376886000000027,0.0289189999999999
128,25,100,Pedersen,11.430815999999991,1.8146645800000007,0.8366350000000006
128,25,100,Feldman,5.424784999999998,1.516618030000001,0.8335790000000003
128,50,100,Pedersen,22.68711900000001,5.641462030000002,3.3507690000000014
128,50,100,Feldman,11.197012000000017,5.374753249999999,3.263041
128,100,100,Pedersen,44.506770000000024,15.093991310000014,14.172125999999995
128,100,100,Feldman,22.127389000000008,14.946470809999978,14.736370000000008
255,2,10,Pedersen,0.7786300000000009,0.3746282000000001,0.0057119999999999
255,2,10,Feldman,0.4087009999999992,0.2028564999999995,0.0042869999999999
255,5,10,Pedersen,2.166945999999996,0.43770019999999993,0.0281219999999997
255,5,10,Feldman,1.0635930000000002,0.2281991000000001,0.0270979999999998
255,10,10,Pedersen,3.955868999999996,0.4626173999999998,0.1128479999999997
255,10,10,Feldman,2.1173360000000008,0.29259560000000057,0.1141669999999997
255,5,100,Pedersen,2.3172119999999983,0.46538125999999963,0.028347
255,5,100,Feldman,1.0765910000000003,0.23818826999999956,0.027687
255,25,100,Pedersen,11.06447299999998,1.7236330400000006,0.8292500000000005
255,25,100,Feldman,5.6841610000000085,1.568089529999999,0.8538240000000008
255,50,100,Pedersen,22.797262999999976,5.627264280000002,3.4420149999999987
255,50,100,Feldman,10.402477000000005,4.86270661,3.3894250000000015
255,100,100,Pedersen,45.07910200000004,15.26667811999998,14.568652999999992
255,100,100,Feldman,22.657110000000007,15.310376420000006,14.08857199999998
